case_number,year,country,area,location,activity,sex,age,injured_part,fatal,time,species
1999.01.13,1999,SOUTH AFRICA,Eastern Cape Province,Bonza Beach,Paddle Skiing,M,Unknown,no injury,N,Unknown,white shark
2012.06.03,2012,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",Surf skiing ,M,30,no injury,N,14,white shark
2008.06.28.a,2008,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surf skiing ,M,46,no injury,N,14,white shark
1965.01.23,1965,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Paddling rescue ski,M,22,no injury,N,13,white shark
1947.11.14.b,1947,AUSTRALIA,New South Wales,"Knobby's Beach, Newcastle",Fishing from surf ski,M,17,no injury,N,18,Unknown
1947.11.14.a,1947,AUSTRALIA,New South Wales,"Knobby's Beach, Newcastle",Fishing from surf ski,M,16,no injury,N,18,Unknown
1938.01.02,1938,AUSTRALIA,New South Wales,Cronulla,Surf skiing,M,Unknown,no injury,N,Unknown,Unknown
2011.12.07.b,2011,SOUTH AFRICA,KwaZulu-Natal,Between Sodwana & Cape Vidal,Surf skiing ,M,Unknown,no injury,N,Unknown,Unknown
2012.06.20,2012,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth",Surf skiing ,M,62,no injury,N,7,Unknown
1935.01.24.b,1935,AUSTRALIA,New South Wales,"Off Ben Buckler, near Sydney",Fishing,M,Unknown,no injury,N,Unknown,tiger shark
1961.05.07,1961,AUSTRALIA,Western Australia,"Quinnï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",Spearfishing,M,Unknown,no injury,N,Unknown,Unknown
1968.02.04,1968,AUSTRALIA,South Australia,Cape Jervis,Spearfishing,M,26,no injury,N,18,copper shark
1992.02.14,1992,JAPAN,Ehime Prefecture,Matsuyama,Diving for pen shells,M,Unknown,no injury,N,10,Unknown
2014.07.05.a,2014,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,Unknown,no injury,N,8,Unknown
2011.03.10,2011,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,Unknown,no injury,N,Unknown,Unknown
1973.00.00.a,1973,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Surfing,M,13,no injury,N,8,Unknown
2006.07.28,2006,SOUTH AFRICA,Western Cape Province,Fish Hoek,Surf-skiing,M,19,no injury,N,16,white shark
2014.06.18.b,2014,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,Unknown,no injury,N,17,Unknown
2009.08.06,2009,USA,Hawaii,Kawa'a ,Surfing,M,Unknown,no injury,N,8,tiger shark
2012.11.04.a,2012,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,M,43,no injury,N,8,tiger shark
2005.10.13,2005,USA,Hawaii,"Honokowai, Maui",Surfing,M,22,no injury,N,18,tiger shark
1974.03.21,1974,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Surfing,M,21,no injury,N,17,Unknown
2014.10.18,2014,USA,Hawaii,"Maalaea, South Maui",Surfing,M,Unknown,no injury,N,11,Unknown
2010.04.19,2010,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,68,no injury,N,16,Unknown
2007.09.16.a,2007,USA,Florida,"Flagler Beach, Flagler County",Surfing,F,15,no injury,N,7,Unknown
2013.03.16.a,2013,SOUTH AFRICA,Western Cape Province,Hawston Beach,Surfing,M,Unknown,no injury,N,Unknown,Unknown
1998.10.18,1998,SOUTH AFRICA,Eastern Cape Province,Glengariff,Surfing,M,30,no injury,N,Unknown,Unknown
2010.01.27,2010,AUSTRALIA,Queensland,Archie's Beach,Surfing,M,Unknown,no injury,N,16,Unknown
1994.09.21,1994,USA,Oregon,"Short Sand Beach, Oswald West State Park",Surfing,M,43,no injury,N,16,white shark
1982.09.30.a,1982,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,16,no injury,N,14,white shark
2015.08.29.b,2015,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,54,no injury,N,10,white shark
2006.10.31,2006,USA,Oregon,"Siletz River mouth, Lincoln County",Surfing,M,22,no injury,N,18,white shark
2002.09.27.c,2002,USA,Hawaii,"Kahala, O'ahu",Fishing from Surfboard,M,55,no injury,N,15,blacktip shark
2007.07.22,2007,USA,California,"Malibu, Los Angeles County",Surf paddling,M,Unknown,no injury,N,Unknown,white shark
2012.01.13,2012,USA,Oregon,"Lincoln City, Lincoln County",Surfing,M,53,no injury,N,Unknown,white shark
2015.01.24,2015,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,Unknown,no injury,N,Unknown,Unknown
2009.02.07.b,2009,AUSTRALIA,New South Wales,Cellito Beach,Surfing,M,41,no injury,N,11,white shark
2006.08.15,2006,SOUTH AFRICA,Western Cape Province,Danger Reef,Surfing,M,Unknown,no injury,N,Unknown,Unknown
2008.07.30.R,2008,AUSTRALIA,Victoria,Levys Beach,Surfing,M,31,no injury,N,10,white shark
2010.09.27,2010,USA,Oregon,Winchester Bay,Surfing,M,29,no injury,N,16,white shark
2012.07.31.b,2012,USA,California,"Topanga Beach, Los Angeles County",Surfing,M,17,no injury,N,6,Unknown
2016.04.22,2016,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,M,Unknown,no injury,N,8,white shark
2013.11.07.b,2013,USA,New Jersey,"Bay Head, Ocean County",Body boarding,M,16,no injury,N,15,Unknown
1982.07.31,1982,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Boogie boarding,M,20,no injury,N,16,Unknown
1993.03.12,1993,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County",Free diving & spearfishing (ascending),M,55,no injury,N,14,white shark
1972.12.24,1972,SOUTH AFRICA,Western Cape Province,Hartenbos,Swimming,M,Unknown,no injury,N,9,white shark
1979.03.11,1979,USA,California,"Ano Nuevo Island, San Mateo, County",Scuba diving (submerged),M,Unknown,no injury,N,10,white shark
2004.01.22,2004,NEW ZEALAND,Northlands,90 Mile Beach,Boogie boarding,M,Unknown,no injury,N,Unknown,Unknown
2004.01.12,2004,AUSTRALIA,New South Wales,Bushrangers Pass at Bass Point,Diving,M,Unknown,no injury,N,15,sandtiger shark
2013.10.26.a,2013,AUSTRALIA,Western Australia,"Little Island, near Hillarys",Diving for crayfish,M,Unknown,no injury,N,10,white shark
1975.07.19,1975,USA,California,"Point Conception, Santa Barbara County",Hookah diving for abalone,M,34,no injury,N,13,white shark
1991.05.19,1991,SOUTH AFRICA,Western Cape Province,Gordonï¿½ï¿½,Scuba diving,M,Unknown,no injury,N,13,white shark
2007.11.08,2007,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing,M,Unknown,no injury,N,14,Unknown
2012.05.20,2012,USA,Hawaii,"Iroquiois Point, Oahu",Kayak Fishing,M,Unknown,no injury,N,9,tiger shark
1996.08.11,1996,USA,Florida,"Bayshore Garden, Sarasota Bay, Sarasota County",Wade fishing,M,21,no injury,N,14,hammerhead shark
2000.11.21,2000,AUSTRALIA,Queensland,Orpheus Island,Diving (shell maintenance),M,28,no injury,N,Unknown,tiger shark
1961.05.21,1961,USA,California,"Tomales Point, Marin County",Free diving for abalone,M,20,no injury,N,9,white shark
2000.02.03,2000,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),Surfing,M,12,no injury,N,Unknown,Unknown
2003.08.08,2003,SOUTH AFRICA,Eastern Cape Province,Jeffreyï¿½ï¿½,Sitting on surfboard,M,16,no injury,N,8,white shark
1966.07.03,1966,USA,Florida,"Key Biscayne, Miami, Dade County",Free diving,M,46,no injury,N,7,Unknown
1853.09.28,1853,USA,North Carolina,"Morehead, Carteret County",Commercial Salvage Diving,M,Unknown,no injury,N,Unknown,white shark
2016.07.08,2016,USA,California,"Capitola, Santa Cruz County",Fishing for squid,M,Unknown,no injury,N,Unknown,white shark
2016.07.07.a,2016,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,M,Unknown,no injury,N,Unknown,white shark
2014.05.10.R,2014,USA,Florida,"Bethel Shoals, Indian River County",Diving,M,Unknown,no injury,N,Unknown,Unknown
1957.12.31,1957,AUSTRALIA,South Australia,"Port Hughes, 100 miles from Adelaide in Spencer Gulf",Spearfishing,M,Unknown,no injury,N,Unknown,Unknown
1940.02.20,1940,AUSTRALIA,New South Wales,Sydney Harbour,Canoeing,Unknown,Unknown,no injury,N,15,Unknown
2001.06.10,2001,USA,California,Catalina Island,Spearfishing,M,52,no injury,N,9,white shark
1955.04.12,1955,PAPUA NEW GUINEA,Unknown,Abau,Spearfishing,M,Unknown,no injury,N,Unknown,Unknown
1886.08.00.a,1886,USA,New Jersey,"Shrewsbury River, Highlands, Monmouth County",Clamming,M,Unknown,no injury,N,Unknown,Unknown
2005.01.19,2005,AUSTRALIA,Victoria,Port Phillip Bay,Spearfishing,M,Unknown,no injury,N,Unknown,Unknown
2016.09.15,2016,AUSTRALIA,Victoria,Bells Beach,Surfing,M,Unknown,no injury,N,Unknown,Unknown
2006.09.30,2006,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing,M,36,no injury,N,Unknown,Unknown
1893.10.16,1893,CROATIA, Primorje-Gorski Kotar County,"Off Volusca, Opatija",small boat,Unknown,Unknown,no injury,N,Unknown,Unknown
1998.08.27,1998,ITALY,Marches region,12 miles off Senigallia (Adriatic Sea),Fishing,Unknown,Unknown,no injury,N,Unknown,Unknown
1980.00.00.b,1980,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Spearfishing,M,20,no injury,N,12,Unknown
1946.03.20,1946,AUSTRALIA,South Australia,Grange,Fishing,M,28,no injury,N,19,Unknown
1906.09.00,1906,USA,California,"Avalon, Los Angeles County",Fishing,M,Unknown,no injury,N,Unknown,mako shark
1981.05.20,1981,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,M,27,no injury,N,8,sandtiger shark
1874.07.23,1874,FRANCE,Unknown,Unknown,Fishing,Unknown,Unknown,no injury,N,Unknown,Unknown
1888.01.22,1888,AUSTRALIA,New South Wales,Sydney Harbor,Rowing,M,Unknown,no injury,N,Unknown,Unknown
2017.02.01.b,2017,USA,South Carolina,16 miles off Hilton Head,Tagging sharks,Unknown,Unknown,no injury,N,Unknown,white shark
1880.07.25,1880,USA,New York,The Narrows,Sailing,M,Unknown,no injury,N,15,Unknown
2016.10.13.R,2016,MEXICO,Unknown,Guadalupe Island,Cage Diving,M,Unknown,no injury,N,Unknown,white shark
2015.01.17,2015,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,Unknown,no injury,N,13,Unknown
2014.11.17,2014,USA,California,"Franklin Point, San Mateo County",Unknown,Unknown,Unknown,no injury,N,Unknown,white shark
2014.11.19,2014,AUSTRALIA,Western Australia,Freo,Fishing,M,Unknown,no injury,N,Unknown,white shark
1874.11.14.R,1874,CROATIA,Zadar County,"Lika-Senj, Pag Island",Fishing,Unknown,Unknown,no injury,N,Unknown,Unknown
2017.02.06.a,2017,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Kayak fishing,M,Unknown,no injury,N,Unknown,tiger shark
1978.02.28,1978,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Fishing for mackerel,Unknown,Unknown,no injury,N,3,Unknown
1909.04.27.R,1909,SPAIN,Andalucia,"Puente Mayorga, San Roque, Cï¿½ï",Fishing,M,Unknown,no injury,N,Unknown,Unknown
2008.07.00,2008,UNITED KINGDOM,Sussex,"Rock-a-Nore, Hastings",Rowing an inflatable dinghy,M,16,no injury,N,Unknown,starry smooth-hound shark
1983.03.10,1983,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,Unknown,no injury,N,Unknown,Unknown
2016.09.15.R,2016,AUSTRALIA,Western Australia,Bunbury,Fishing,Unknown,Unknown,no injury,N,Unknown,Unknown
1936.08.00,1936,USA,North Carolina,"Pamlico Sound off Frisco, Dare County",Fishing,M,13,no injury,N,Unknown,Unknown
1957.00.00.f,1957,USA,Florida,"Miami, Miami-Dade County",Helmet diving in Miami Seaquarium,M,Unknown,no injury,N,Unknown,bull shark
1959.08.25,1959,JAPAN,Hokkaido Prefecture,"Okushiri Island, Hiyama Subprefecture",Unknown,M,14,no injury,N,Unknown,porbeagle
2007.11.00,2007,MEXICO,Baja California,Guadalupe Island,Shark diving,M,Unknown,no injury,N,Unknown,Unknown
1966.05.16.b,1966,USA,Florida,"Fernandina Beach, Nassau County",Spearfishing / Scuba diving,M,24,no injury,N,14,Unknown
1993.04.00,1993,AUSTRALIA,Tasmania,Barren Joey Island,Spearfishing,M,32,no injury,N,Unknown,Unknown
1992.06.17,1992,JAPAN,Ehime Prefecture,"1.5 km north of Igata-cho, 60 km south of Matsyama",Preparing to fish for jack-mackerel,Unknown,Unknown,no injury,N,12,white shark
2004.00.00,2004,AUSTRALIA,Western Australia,Redgate Beach,Surfing,M,Unknown,no injury,N,9,Unknown
1930.09.12.R,1930,AZORES,Unknown,Unknown,Unknown,Unknown,Unknown,no injury,N,Unknown,Unknown
1940.00.00.f,1940,SLOVENIA,Adriatic Sea,Koper,Boating,Unknown,Unknown,no injury,N,Unknown,white shark
2016.09.05.a,2016,AUSTRALIA,Western Australia,Injidup ,Surfing,M,Unknown,no injury,N,15,Unknown
2016.08.06,2016,USA,Hawaii,Maui,SUP Foil boarding,M,21,no injury,N,16,tiger shark
1963.07.10.R,1963,JAMAICA,Unknown,Unknown,63' fishing boat Sno' Bay foundered,Unknown,Unknown,Unknown,Y,Unknown,Unknown
2004.01.03.a,2004,EGYPT,Sinai Peninsula,Off Sharm El-Sheikh,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,Unknown,Unknown,Unknown,Y,3,Unknown
1989.09.09.a,1989,USA,North Carolina,"Salvo, Dare County",Surfing,M,31,Unknown,N,Unknown,sandbar shark
2000.08.11,2000,USA,North Carolina,"Emerald Isle, Carteret County",Swimming ,M,Unknown,Unknown,N,Unknown,Unknown
2000.09.16.a,2000,USA,South Carolina,"Isle of Palms, Charleston County",Unknown,Unknown,Unknown,Unknown,N,Unknown,Unknown
1923.07.02.R,1923,AUSTRALIA,Queensland,Great Barrier Reef,Diving for pearl,M,Unknown,Unknown,N,Unknown,Unknown
1881.00.00.a,1881,ITALY,Sicily,Stretto di Messina,Fishing on a boat,M,Unknown,Unknown,N,Unknown,white shark
1956.00.00.c,1956,PAPUA NEW GUINEA,Milne Bay Province,"Kimuta, Renard Island",Unknown,Unknown,Unknown,Unknown,N,Unknown,Unknown
2006.06.26,2006,USA,Florida,Fort Myers,Fishing,M,Unknown,Unknown,N,15,Unknown
1993.06.29,1993,REUNION,Saint-Paul,Cap de la Marianne,Body boarding,M,16,Unknown,N,Unknown,Unknown
1926.10.23.a,1926,BERMUDA,Unknown,18 miles southwest of Bermuda ,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,Unknown,Unknown,Unknown,N,1,Unknown
1927.10.25,1927,BRAZIL,Porto Seguro,90 miles off Albrohos Island,Italian liner Principessa Mafalda sank,Unknown,Unknown,no injury,Y,12,Unknown
1987.10.06,1987,DOMINICAN REPUBLIC,Between DR and Puerto Rico,Mona Passage,"Vessel caught fire & capsized, survivors in the water",Unknown,Unknown,no injury,Y,Unknown,Unknown
2014.12.28.d,2014,GREECE,Unknown,33 nautical miles off Othonoi Island,Unknown,Unknown,Unknown,Unknown,N,Unknown,Unknown
1942.03.08,1942,CUBA,Guantanamo Province,30 nm southeast of Guantanamo Bay,Esso Bolivar was torpedoed & shelled by the German submarine U-126,M,Unknown,Unknown,Y,15,Unknown
1943.11.11,1943,PACIFIC OCEAN,Near the Fiji Islands,22ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,The 6711-ton American freighter & troop transport Cape San Juan was torpedoed by the Japanese submarine I-21,M,Unknown,no injury,Y,Unknown,Unknown
1943.03.14,1943,SIERRA LEONE,Unknown,Unknown,"The 21,516-ton troopship Empress of Canada torpedoed and sunk by the Italian submarine Leonardo da Vinci",Unknown,Unknown,Unknown,Y,Unknown,Unknown
1943.12.04,1943,USA,South Carolina,Off Charleston,The Cuban freighter Libertad was torpedoed and sunk by the German submarine U-129,M,Unknown,Unknown,Y,Unknown,Unknown
2008.11.25,2008,PHILIPPINES,Batanes Provine,Luzon Strait,Sinking of the cargo ship Mark Jason,M,Unknown,Unknown,N,Unknown,Unknown
1963.05.14,1963,PHILIPPINES,Luzon Island,100 miles southeast of Manila,"Boat, with 42 passengers onboard, capsized in rough seas",Unknown,Unknown,Unknown,Y,Unknown,Unknown
1960.09.22,1960,PACIFIC OCEAN,180 miles southeast of Okinawa,Unknown,R5D aircraft went down with 29 on board,M,Unknown,Unknown,N,Unknown,Unknown
1942.11.00.b,1942,PACIFIC OCEAN,Between Hawaii and U.S.A.,Unknown,In rubber dinghy with Captain Eddie Rickenbacker for 21 days. ,M,Unknown,Unknown,N,Unknown,Unknown
1973.06.13,1973,HONG KONG,Unknown,Unknown,Freedom Swimming,M,Unknown,Unknown,N,Unknown,Unknown
1965.08.30,1965,PHILIPPINES,Unknown,"Grounded off Scarborough Shoals, 150 miles northwest of Manila in the South China Sea","Arsinoe, a French tanker",M,Unknown,Unknown,Y,Unknown,Unknown
1963.12.22.b,1963,ATLANTIC OCEAN,Between Southampton & Canary Islands,Unknown,"Greek steamship Lakonia caught fire, 98 of her 646 passengers, and 30 of her crew of 376 perished",F,Unknown,Unknown,N,Unknown,Unknown
1941.12.07,1941,SOUTH ATLANTIC OCEAN,Unknown,Unknown,Torpedoed & burning British  light cruiser with a crew of 450 men,Unknown,Unknown,Unknown,Y,Unknown,bull shark
1942.11.13.b,1942,SOLOMON ISLANDS / VANUATU,Unknown,"North of Guadalcanal, Solomon Islands while enroute to Vanuatu",Explosion & sinking of the USS Juneau after being torpedoed by the submarine  I-85,M,Unknown,Unknown,Y,11,Unknown
1942.01.18,1942,AUSTRALIA,New South Wales,Fairy Bower,Unknown,Unknown,Unknown,Unknown,N,Unknown,Unknown
1879.03.10,1879,AUSTRALIA,New South Wales,Near Sydney ,The steamship Bonnie Dundee lost in collision,M,Unknown,Unknown,Y,Unknown,Unknown
1733.00.00,1733,ICELAND,Bardestrand,Talkknefiord,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1877.08.28.R,1877,INDIAN OCEAN,Unknown,Unknown,Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
1960.08.25,1960,USA,Texas,30 miles east of Corpus Christi,Aircraft crashed into sea,M,Unknown,Unknown,Y,Unknown,hammerhead shark
1967.11.04,1967,PHILIPPINES,Rombion Province,Off Sibuyan Island,Sinking of the M/V Mindoro during a typhoon,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1959.00.00.a,1959,PAPUA NEW GUINEA,Morobe Province,Unknown,Fishing,M,Unknown,Unknown,N,Unknown,Unknown
1986.04.20,1986,USA,Hawaii,"Kaliiwi, Kauai","Fishing, fell from rocks & disappeared",M,Unknown,Unknown,Y,Unknown,Unknown
1902.01.19.R,1902,SOUTH AFRICA,KwaZulu-Natal,Durban,Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
1962.01.18,1962,SOUTH AFRICA,KwaZulu-Natal,Margate,"Fishing, slipped on rocks & fell into sea",M,40,Unknown,Y,13,bull shark
1987.11.00,1987,SOUTH AFRICA,KwaZulu-Natal,St. Lucia,Unknown,M,Unknown,Unknown,N,Unknown,Unknown
1862.08.02.R,1862,SPAIN,Malaga,Fuengirola,Unknown,M,Unknown,Unknown,N,Unknown,Unknown
1976.04.28,1976,USA,Texas,Galveston Island,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
2014.02.07.b,2014,TRINIDAD & TOBAGO,Trinidad,Unknown,Fishing,M,Unknown,Unknown,N,Unknown,Unknown
1952.08.06,1952,SOUTH AFRICA,Eastern Cape Province,Nelsonï¿½ï¿½ï,Unknown,M,18,Unknown,Y,Unknown,bull shark
1875.08.10,1875,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban",Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1910.05.16.R,1910,USA,Alabama,"Off Fort Gaines, Dauphin Island, Mobile County","Unknown, their unoccupied yawlboat was recovered",M,Unknown,Unknown,N,Unknown,Unknown
1990.04.08,1990,AUSTRALIA,Queensland,"Dingo Reef, 80 nm off Townsville",Free diving for trochus,M,37,Unknown,Y,Unknown,Unknown
1964.03.28.a,1964,PAPUA NEW GUINEA,Central Province,30 miles from Port Moresby,"Canoe capsized with 10 occupants, 8 survived,  Hamilton swam off to seek help",M,32,Unknown,Y,0,Unknown
1916.06.24.R,1916,ATLANTIC OCEAN,Unknown,Unknown,Jumped overboard from Norwegian steamship Venator,M,Unknown,Unknown,Y,Unknown,Unknown
1987.04.15,1987,USA,Hawaii,"Kailua-Kona, Hawai'i",Swimming from shore to anchored sailboat,M,Unknown,Unknown,Y,Unknown,Unknown
1995.09.13,1995,USA,Florida,"Alligator Reef, off Islamorada, Monroe County",Scuba diving,M,25,Unknown,Y,Unknown,bull shark
2002.03.03,2002,NEW CALEDONIA,Loyalty Islands,Lifou,Spearfishing,M,44,Unknown,Y,Unknown,Unknown
2007.01.14,2007,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming / Body Surfing,M,24,Unknown,Y,15,tiger shark
1979.03.00,1979,NEW CALEDONIA,Grand Terre,"Five Mile Beach, I'le Ouen",Spearfishing,M,Unknown,Unknown,Y,Unknown,Unknown
1864.00.00,1864,AUSTRALIA,South Australia,"Corio Bay, Port Phillip",Swimming,M,Unknown,Unknown,Y,Unknown,Unknown
1997.01.20,1997,AUSTRALIA,Western Australia,Geraldton,Windsurfing,M,41,Unknown,Y,18,tiger shark
1996.12.00.b,1996,NEW CALEDONIA,Unknown,Unknown,Spearfishing,M,Unknown,Unknown,Y,Unknown,Unknown
1999.12.14,1999,USA,California,"Off Ventura, Anacapa & Santa Cruz Islands",Scuba diving,M,Unknown,Unknown,Y,Unknown,Unknown
2005.07.17.b,2005,LIBERIA,Unknown,Unknown,Swimming,M,Unknown,Unknown,Y,Unknown,Unknown
1980.11.17,1980,SOUTH AFRICA,KwaZulu-Natal,Mnini,Swimming,M,Unknown,Unknown,Y,Unknown,Unknown
1959.08.02,1959,ITALY,Tuscany,"Cala del Corvo, Isola del Giglio",Scuba diving,M,27,Unknown,Y,Unknown,Unknown
2000.05.09,2000,AUSTRALIA,Victoria,"Koonya Beach, Melbourne",Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1872.01.28,1872,Fiji,Lomaiviti Provine,"Levuka Point, Ovalau Island",boat capsized,M,Unknown,Unknown,Y,18,Unknown
1860.03.27,1860,COOK ISLANDS,Mangaia Island,Unknown,43-ton schooner Irene capsized & sank,M,Unknown,Unknown,Y,Unknown,Unknown
1818.05.22.R,1818,NORWAY,Unknown,Herï¿,Unknown,M,Unknown,Unknown,N,Unknown,Unknown
1981.01.01,1981,SOUTH AFRICA,KwaZulu-Natal,Widenham,Swimming,M,23,Unknown,Y,Unknown,tiger shark
1980.12.26,1980,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1924.02.08,1924,AUSTRALIA,Queensland,Currumbin,Bathing,M,Unknown,Unknown,Unknown,16,Unknown
1895.09.18,1895,CUBA,Havana Province,Havana Harbor,Shipwreck,M,Unknown,Unknown,Y,21,Unknown
1944.11.01,1944,AUSTRALIA,Queensland,Maroochydore Beach,Swimming,M,Unknown,Unknown,Y,Unknown,Unknown
1902.04.00,1902,SOUTH AFRICA,Eastern Cape Province,Algoa Bay,Swimming,M,Unknown,Unknown,Y,Unknown,Unknown
1900.10.27,1900,SOUTH AFRICA,Western Cape Province,"Woodstock Beach, Cape Town",Swimming,M,Unknown,Unknown,Y,Unknown,Unknown
1888.06.18.R,1888,AUSTRALIA,Victoria,"Point Cook, Port Phillip Bay",The cutter yacht Cutty Sark sank,M,Unknown,Unknown,Y,Unknown,Unknown
1886.04.11,1886,NEW ZEALAND,South Island,Near the mouth of the Clarence River,Sea disaster : Wreck of the Taiaroa,M,Unknown,Unknown,Y,Unknown,Unknown
1905.08.24,1905,EGYPT,Suez Canal,Port Said,Human head found in shark caught by British steamer Syria,Unknown,Unknown,Unknown,Y,Unknown,tiger shark
1985.09.08.b,1985,SOUTH AFRICA,KwaZulu-Natal,T.O. Strand,Swimming,M,21,Unknown,Y,Unknown,Unknown
1985.01.18,1985,SOUTH AFRICA,KwaZulu-Natal,Umzimkulu,Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
1975.04.18,1975,SOUTH AFRICA,KwaZulu-Natal,Durban,Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
1975.03.29,1975,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Swimming,M,Unknown,Unknown,Y,Unknown,white shark
1983.11.10,1983,SOUTH AFRICA,KwaZulu-Natal,Tongaat,Swimming,F,Unknown,Unknown,Y,Unknown,Unknown
2012.07.21,2012,TRINIDAD & TOBAGO,Trinidad,"Off Radix Village, Mayoro County",Swimming,M,24,Unknown,Y,Unknown,Unknown
2008.04.18,2008,MEXICO,Quintana Roo,"Delfines Beach, Cancun",Swimming,M,32,Unknown,Y,18,Unknown
2008.06.28.c,2008,USA,Hawaii,"Kamilo Point, Hawai'i",Wading,M,53,Unknown,Y,15,Unknown
2013.06.27,2013,JAMAICA,Kingston Parish,Port Royal,Unknown,M,20,Unknown,Y,Unknown,Unknown
2009.01.26.R,2009,BRAZIL,Unknown,Praia do Olho d'Aqua,Unknown,M,17,Unknown,Y,Unknown,Unknown
1981.06.12,1981,USA,Hawaii,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i",Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
2003.01.17,2003,SOUTH AFRICA,Western Cape Province,"Near the lagoon at Table View, Cape Peninsula",Unknown,M,14,Unknown,Y,Unknown,Unknown
1947.07.27.R,1947,USA,California,"Santa Monica, Los Angeles County",Fishing,M,46,Unknown,N,Unknown,Unknown
1972.12.08,1972,AUSTRALIA,New South Wales,"Marineland, Sydney",Unknown,Unknown,24,Unknown,N,Unknown,Unknown
1971.11.25.R,1971,AUSTRALIA,New South Wales,"Marineland, Sydney",Unknown,Unknown,20,Unknown,N,Unknown,Unknown
1970.09.02,1970,AUSTRALIA,New South Wales,"Marineland, Sydney",Unknown,M,20,Unknown,N,Unknown,Unknown
1969.11.05,1969,AUSTRALIA,New South Wales,"Marineland, Sydney",Unknown,M,27,Unknown,N,Unknown,Unknown
2010.10.25,2010,AZORES,Unknown,350 miles from Faial Island,Fishing,M,Unknown,Unknown,N,Unknown,Unknown
1983.02.20,1983,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Paddleskiing,M,16,buttock,N,12,Unknown
1956.02.10.R,1956,AUSTRALIA,Victoria,Cowes,Swimming,M,8,calf,N,Unknown,Unknown
1948.08.03,1948,IRAN,Shatt-al-Arab River,Bashamir,Swimming,M,15,thigh,N,Unknown,Unknown
1960.00.00.h,1960,CARIBBEAN SEA,Unknown,"Between Key West, Florida & Guantanamo Bay, Cuba",Aircraft crashed into sea,M,Unknown,Unknown,N,Unknown,Unknown
1946.07.18.b,1946,IRAN,Khuzestan Province,"Dorquain, on the Karun River","Fishing, probably with a net",M,12,arm,N,Unknown,Unknown
1967.05.09,1967,AUSTRALIA,Unknown,Aquarium,Feeding a shark,M,22,Unknown,N,15,sandtiger shark
1967.11.30.b,1967,AUSTRALIA,New South Wales,Wollongong,Freediving,M,15,Unknown,N,Unknown,sandtiger shark
